date,value
2021-12-17T00:59:59Z,0.610
2021-12-17T01:59:59Z,0.910
2021-12-17T02:59:59Z,1.220
2021-12-17T03:59:59Z,1.530
2021-12-17T04:59:59Z,1.840
2021-12-17T05:59:59Z,2.130
2021-12-17T06:59:59Z,2.480
2021-12-17T07:59:59Z,2.760
2021-12-17T08:59:59Z,3.120
2021-12-17T09:59:59Z,3.640
2021-12-17T10:59:59Z,4.180
2021-12-17T11:59:59Z,4.730
2021-12-17T12:59:59Z,5.220
2021-12-17T13:59:59Z,5.700
2021-12-17T14:59:59Z,6.200
2021-12-17T15:59:59Z,6.760
2021-12-17T16:59:59Z,7.500
2021-12-17T17:59:59Z,8.170
2021-12-17T18:59:59Z,8.830
2021-12-17T19:59:59Z,10.410
2021-12-17T20:59:59Z,10.870
2021-12-17T21:59:59Z,11.300
2021-12-17T22:59:59Z,12.020
2021-12-17T23:59:59Z,13.210
